Loan #,Loan Type,Balance,Rate,Term,Asset,Asset Value
1,Auto Loan,65069.46,0.019,61,Car,48718
2,Auto Loan,34192.02,0.019,67,Car,34605
3,Auto Loan,37666.16,0.019,67,Car,42177
4,Auto Loan,26022.77,0.019,62,Car,42988
5,Auto Loan,22253.06,0.009,67,Car,23893
6,Auto Loan,35161.77,0.019,67,Car,40149
7,Auto Loan,21410.29,0.069,73,Car,23588
8,Auto Loan,25257.57,0.035,73,Car,27873
9,Auto Loan,37086.6,0.025,61,Car,36881
10,Auto Loan,21772.7,0.059,73,Car,27015
11,Auto Loan,30214.93,0.019,73,Car,34214
12,Auto Loan,16737.58,0.035,61,Car,25936
13,Auto Loan,21359.4,0,62,Car,19874
14,Auto Loan,14000,0.029,62,Car,30855
15,Auto Loan,24747.82,0.039,73,Car,26676
16,Auto Loan,20165.82,0.0645,74,Car,21293
17,Auto Loan,21087.69,0,62,Car,22382
18,Auto Loan,17882.02,0.019,62,Car,22868
19,Auto Loan,18733.47,0.029,74,Car,20386
20,Auto Loan,24397.98,0.019,62,Car,23121
21,Auto Loan,27382.32,0,74,Car,28275
22,Auto Loan,31632.68,0.019,61,Car,37223
23,Auto Loan,17822.05,0.03,49,Car,30921
24,Auto Loan,33412.81,0.019,61,Car,26114
25,Auto Loan,29360.01,0.045,74,Car,29867
26,Auto Loan,28781.19,0,73,Car,32922
27,Auto Loan,44879.97,0.019,61,Car,39386
28,Auto Loan,33860.95,0.035,73,Car,38113
29,Auto Loan,28141.78,0.045,73,Car,30360
30,Auto Loan,14700.57,0.019,61,Car,20150
31,Auto Loan,26176.53,0.019,61,Car,26524
32,Auto Loan,28340.75,0.035,73,Car,32079
33,Auto Loan,25495.71,0.035,73,Car,32119
34,Auto Loan,24281.57,0.055,74,Car,28643
35,Auto Loan,40850.78,0.039,73,Car,44724
36,Auto Loan,18161,0.035,61,Car,25552
37,Auto Loan,23225.28,0.045,73,Car,25668
38,Auto Loan,27602.27,0.045,73,Car,33612
39,Auto Loan,29232.9,0.019,61,Car,31338
40,Auto Loan,24672,0,62,Car,24256
41,Auto Loan,22180.95,0.0475,77,Car,26855
42,Auto Loan,28165.74,0.035,74,Car,23348
43,Auto Loan,38679.06,0.019,74,Car,24599
44,Auto Loan,34837.53,0.0615,73,Car,25438
45,Auto Loan,35595.36,0.0775,67,Car,27401
46,Auto Loan,30237,0.045,73,Car,25059
47,Auto Loan,19998.31,0.0555,73,Car,25150
48,Auto Loan,17361.01,0.019,61,Car,22616
49,Auto Loan,14003.23,0.019,61,Car,25109
50,Auto Loan,34840.48,0.019,61,Car,39910
51,Auto Loan,48222,0.102,73,Car,37425
52,Auto Loan,64779.16,0.0325,73,Car,48987
53,Auto Loan,23247.02,0.0675,73,Car,23561
54,Auto Loan,26593.87,0.0575,73,Car,40444
55,Auto Loan,49493.88,0.025,73,Car,63544
56,Auto Loan,10000,0.055,50,Car,10300
57,Auto Loan,29999.81,0.0475,77,Car,35664
58,Auto Loan,40943,0.035,73,Car,26281
59,Auto Loan,22053.19,0.0275,61,Car,18448
60,Auto Loan,14517.4,0.029,62,Car,31223
61,Auto Loan,32632.35,0.039,74,Car,21407
62,Auto Loan,36485.28,0.0399,62,Car,42831
63,Auto Loan,32700.5,0.019,62,Car,30084
64,Auto Loan,16725.59,0.0225,62,Car,34625
65,Auto Loan,10081.93,0.019,62,Car,27581
66,Auto Loan,50216.78,0.029,73,Car,38297
67,Auto Loan,20155.32,0,61,Car,22628
68,Auto Loan,21226.72,0.0425,76,Car,17195
69,Auto Loan,62834.86,0.039,74,Car,44424
70,Auto Loan,28470.26,0.039,73,Car,23198
71,Auto Loan,8579.08,0.025,49,Car,30899
72,Auto Loan,21189.44,0.0825,61,Car,22473
73,Auto Loan,15593.34,0.019,73,Car,16730
74,Auto Loan,22724.6,0.029,61,Car,27205
75,Auto Loan,59111.8,0.019,62,Car,48047
76,Auto Loan,17071.68,0.039,61,Car,27533
77,Auto Loan,31000.37,0.0625,67,Car,21627
78,Auto Loan,39926.83,0.009,61,Car,43284
79,Auto Loan,24999.33,0.019,62,Car,22984
80,Auto Loan,24779.25,0.009,68,Car,26119
81,Auto Loan,29869.2,0,74,Car,34016
82,Auto Loan,37937.69,0.0415,73,Car,26858
83,Auto Loan,34671.6,0,73,Car,26070
84,Auto Loan,8603,0.019,50,Car,35329
85,Auto Loan,34016.41,0.039,74,Car,38534
86,Auto Loan,24171.06,0.058,74,Car,24444
87,Auto Loan,36935.25,0.079,73,Car,29253
88,Auto Loan,29920.2,0,62,Car,39776
89,Auto Loan,22276.91,0.0399,74,Car,25257
90,Auto Loan,20816.15,0.0499,74,Car,26502
91,Auto Loan,17452.16,0.019,61,Car,46663
92,Auto Loan,22703.63,0.0175,49,Car,28266
93,Auto Loan,30999.99,0.009,50,Car,35600
94,Auto Loan,29432.15,0.0175,49,Car,40011
95,Auto Loan,25655.98,0.039,74,Car,30218
96,Auto Loan,36164,0.019,62,Car,36680
97,Auto Loan,22387.34,0.0559,61,Car,26899
98,Auto Loan,31199,0,73,Car,37503
99,Auto Loan,33703.88,0,62,Car,32311
