Period,Interest Due A,Interest Paid A,Interest Shortfall A,Principal Paid A,Balance A,Interest Due B,Interest Paid B,Interest Shortfall B,Principal Paid B,Balance B,Reserve Account
1,94514.58105916665,94514.58105916665,0,309835.7972660266,22373663.65693397,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,260498.6936758994
2,93223.59857055821,93223.59857055821,0,314102.5648280346,22059561.092105936,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,518021.6022783981
3,91914.83788377473,91914.83788377473,0,318428.8563695992,21741132.235736337,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,772526.9800261161
4,90588.05098223474,90588.05098223474,0,322517.6230476928,21418614.612688642,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1035223.4692389806
5,89244.22755286934,89244.22755286934,0,326962.263597828,21091652.349090815,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1283326.6228623358
6,87881.8847878784,87881.8847878784,0,331468.9517586502,20760183.397332165,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1528285.4310898604
7,86500.76415555069,86500.76415555069,0,335860.4237953447,20424322.97353682,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,1776989.4525452503
8,85101.34572307007,85101.34572307007,0,340491.47655514436,20083831.496981677,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2015322.3312771898
9,83682.63123742366,83682.63123742366,0,344980.478824775,19738851.0181569,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2258151.557568652
10,82245.21257565376,82245.21257565376,0,349739.36937410285,19389111.648782797,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2489720.3646535133
11,80787.96520326166,80787.96520326166,0,354272.44276915345,19034839.206013642,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2726631.7666423414
12,79311.83002505684,79311.83002505684,0,359160.84428022726,18675678.361733418,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,2951171.1019482906
13,77815.32650722258,77815.32650722258,0,363798.2723718509,18311880.089361563,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3182879.5056284484
14,76299.50037233984,76299.50037233984,0,368671.5377402924,17943208.551621273,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3406253.3120111935
15,74763.36896508864,74763.36896508864,0,372763.1091266002,17570445.44249467,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3657165.411309601
16,73210.1893437278,73210.1893437278,0,377910.6588141257,17192534.783680547,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,3866293.199439696
17,71635.56159866895,71635.56159866895,0,382968.20704246033,16809566.576638088,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4079065.222842058
18,70039.86073599203,70039.86073599203,0,387820.54602720146,16421746.030610885,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4299652.804174424
19,68423.94179421202,68423.94179421202,0,392516.9040218955,16029229.126588989,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4523537.218434484
20,66788.45469412078,66788.45469412078,0,397941.55793866055,15631287.56865033,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4716551.731234171
21,65130.364869376375,65130.364869376375,0,402582.05489905656,15228705.513751272,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,4933959.498875184
22,63452.9396406303,63452.9396406303,0,407927.92693132255,14820777.58681995,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5126266.845776568
23,61753.23994508313,61753.23994508313,0,413570.6473581382,14407206.939461812,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5306931.733947974
24,60030.02891442422,60030.02891442422,0,418772.7541895985,13988434.185272213,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5500691.627501104
25,58285.14243863422,58285.14243863422,0,424209.9453592969,13564224.239912916,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5684818.1934619155
26,56517.60099963715,56517.60099963715,0,429240.0938477614,13134984.146065155,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,5878685.486835938
27,54729.100608604815,54729.100608604815,0,435180.1949297051,12699803.95113545,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6041810.890499602
28,52915.849796397706,52915.849796397706,0,441203.55103138287,12258600.400104066,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6200726.188873796
29,51077.501667100274,51077.501667100274,0,447311.3433852432,11811289.056718823,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6355372.043023426
30,49213.70440299509,49213.70440299509,0,453245.92917503556,11358043.127543787,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6522649.75524075
31,47325.17969809911,47325.17969809911,0,459522.4194549967,10898520.70808879,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6668485.717595111
32,45410.502950369955,45410.502950369955,0,465432.8930618732,10433087.815026917,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6822988.5960189765
33,43471.19922927882,43471.19922927882,0,471516.3791968733,9961571.435830044,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,6968778.454072082
34,41506.547649291846,41506.547649291846,0,477710.5812538253,9483860.854576219,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7109355.146545262
35,39516.08689406758,39516.08689406758,0,483090.8312440002,9000770.02333222,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7270104.983905108
36,37503.20843055091,37503.20843055091,0,489788.06668462773,8510981.956647592,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7392128.640710399
